Rank,nctid,age,age_id
5682,NCT04750356,"18 Years and older  (Adult, Older Adult)",age_101
5683,NCT04748614,"18 Years and older  (Adult, Older Adult)",age_101
5684,NCT04307459,"18 Years and older  (Adult, Older Adult)",age_101
5687,NCT04747522,"18 Years and older  (Adult, Older Adult)",age_101
5689,NCT04442308,"18 Years and older  (Adult, Older Adult)",age_101
5690,NCT04756271,"18 Years and older  (Adult, Older Adult)",age_101
5692,NCT04429594,"18 Years and older  (Adult, Older Adult)",age_101
5693,NCT04323800,"18 Years and older  (Adult, Older Adult)",age_101
5695,NCT04386460,"18 Years and older  (Adult, Older Adult)",age_101
5697,NCT04871893,"18 Years and older  (Adult, Older Adult)",age_101
5700,NCT04607915,"18 Years and older  (Adult, Older Adult)",age_101
5704,NCT04852822,"18 Years and older  (Adult, Older Adult)",age_101
5705,NCT04365166,"18 Years and older  (Adult, Older Adult)",age_101
5707,NCT04821570,"18 Years and older  (Adult, Older Adult)",age_101
5709,NCT04604145,"18 Years and older  (Adult, Older Adult)",age_101
5710,NCT04949074,"18 Years and older  (Adult, Older Adult)",age_101
5711,NCT04617262,"18 Years and older  (Adult, Older Adult)",age_101
5717,NCT04416464,"18 Years and older  (Adult, Older Adult)",age_101
5718,NCT04567927,"18 Years and older  (Adult, Older Adult)",age_101
5720,NCT04914832,"18 Years and older  (Adult, Older Adult)",age_101
5722,NCT04322773,"18 Years and older  (Adult, Older Adult)",age_101
5724,NCT04728880,"18 Years and older  (Adult, Older Adult)",age_101
5726,NCT04368832,"18 Years and older  (Adult, Older Adult)",age_101
5727,NCT04444557,"18 Years and older  (Adult, Older Adult)",age_101
5732,NCT04336410,"18 Years and older  (Adult, Older Adult)",age_101
5735,NCT04354272,"18 Years and older  (Adult, Older Adult)",age_101
5737,NCT04948229,"18 Years and older  (Adult, Older Adult)",age_101
5741,NCT04420338,"18 Years and older  (Adult, Older Adult)",age_101
5744,NCT04934020,"18 Years and older  (Adult, Older Adult)",age_101
5746,NCT04433754,"18 Years and older  (Adult, Older Adult)",age_101
5749,NCT04461353,"18 Years and older  (Adult, Older Adult)",age_101
5754,NCT04666025,"18 Years and older  (Adult, Older Adult)",age_101
5756,NCT04397666,"18 Years and older  (Adult, Older Adult)",age_101
5758,NCT04476979,"18 Years and older  (Adult, Older Adult)",age_101
5759,NCT04322786,"18 Years and older  (Adult, Older Adult)",age_101
5763,NCT04935489,"18 Years and older  (Adult, Older Adult)",age_101
5764,NCT04344106,"18 Years and older  (Adult, Older Adult)",age_101
5766,NCT04568005,"18 Years and older  (Adult, Older Adult)",age_101
5773,NCT04806529,"18 Years and older  (Adult, Older Adult)",age_101
5774,NCT04379232,"18 Years and older  (Adult, Older Adult)",age_101
5776,NCT04453475,"18 Years and older  (Adult, Older Adult)",age_101
5777,NCT04955587,"18 Years and older  (Adult, Older Adult)",age_101
5778,NCT04542395,"18 Years and older  (Adult, Older Adult)",age_101
5780,NCT04380909,"18 Years and older  (Adult, Older Adult)",age_101
5782,NCT04369378,"18 Years and older  (Adult, Older Adult)",age_101
5787,NCT04327479,"18 Years and older  (Adult, Older Adult)",age_101
5794,NCT04385823,"18 Years and older  (Adult, Older Adult)",age_101
5796,NCT04556630,"18 Years and older  (Adult, Older Adult)",age_101
5798,NCT04877002,"18 Years and older  (Adult, Older Adult)",age_101
5800,NCT04384419,"18 Years and older  (Adult, Older Adult)",age_101
5803,NCT04730661,"18 Years and older  (Adult, Older Adult)",age_101
5804,NCT04790851,"18 Years and older  (Adult, Older Adult)",age_101
5805,NCT04465656,"18 Years and older  (Adult, Older Adult)",age_101
5808,NCT04422418,"18 Years and older  (Adult, Older Adult)",age_101
5809,NCT04409197,"18 Years and older  (Adult, Older Adult)",age_101
5814,NCT04723407,"18 Years and older  (Adult, Older Adult)",age_101
5816,NCT04384705,"18 Years and older  (Adult, Older Adult)",age_101
5819,NCT04880668,"18 Years and older  (Adult, Older Adult)",age_101
5821,NCT04363528,"18 Years and older  (Adult, Older Adult)",age_101
5822,NCT04386720,"18 Years and older  (Adult, Older Adult)",age_101
5823,NCT04441476,"18 Years and older  (Adult, Older Adult)",age_101
5826,NCT04874363,"18 Years and older  (Adult, Older Adult)",age_101
5827,NCT04799704,"18 Years and older  (Adult, Older Adult)",age_101
5828,NCT04473599,"18 Years and older  (Adult, Older Adult)",age_101
5829,NCT04664075,"18 Years and older  (Adult, Older Adult)",age_101
5832,NCT04343729,"18 Years and older  (Adult, Older Adult)",age_101
5834,NCT04308668,"18 Years and older  (Adult, Older Adult)",age_101
5839,NCT04574765,"18 Years and older  (Adult, Older Adult)",age_101
5840,NCT04524962,"18 Years and older  (Adult, Older Adult)",age_101
5841,NCT04486144,"18 Years and older  (Adult, Older Adult)",age_101
5842,NCT04492189,"18 Years and older  (Adult, Older Adult)",age_101
5843,NCT04374643,"18 Years and older  (Adult, Older Adult)",age_101
5844,NCT04492267,"18 Years and older  (Adult, Older Adult)",age_101
5845,NCT04907903,"18 Years and older  (Adult, Older Adult)",age_101
5846,NCT04788355,"18 Years and older  (Adult, Older Adult)",age_101
5847,NCT04427969,"18 Years and older  (Adult, Older Adult)",age_101
5848,NCT04341584,"18 Years and older  (Adult, Older Adult)",age_101
5850,NCT04460599,"18 Years and older  (Adult, Older Adult)",age_101
5851,NCT04340557,"18 Years and older  (Adult, Older Adult)",age_101
5853,NCT04799132,"18 Years and older  (Adult, Older Adult)",age_101
5854,NCT04430023,"18 Years and older  (Adult, Older Adult)",age_101
5858,NCT04517097,"18 Years and older  (Adult, Older Adult)",age_101
5860,NCT03907891,"18 Years and older  (Adult, Older Adult)",age_101
5861,NCT04423042,"18 Years and older  (Adult, Older Adult)",age_101
5862,NCT04590209,"18 Years and older  (Adult, Older Adult)",age_101
5863,NCT04325672,"18 Years and older  (Adult, Older Adult)",age_101
